Sex,Dimension,trait,mean_av,mean_av_se,mean_diff,mean_diff_se,n,skew,kurt,blank_1,da_ts,da_p,da_bonf,da_rank,da_alpha
female,length,mxm2,11.834244791666666,0.14824835425695473,-0.16362152777777783,0.05512100250222448,32,-0.24124764985880315,-0.6148254825505939,NA,-2.9684062399114506,0.005728696908180175,0.008333333333333333,3,*
female,length,mnm1,9.61685,0.13429637344713607,0.17010000000000014,0.06045036676568023,20,0.6712756065668107,0.585261525718515,NA,2.8138787091126765,0.011083251404611114,0.01,4,n.s.
female,length,mnm2,11.44078125,0.12722004369685294,0.23318749999999977,0.08083971892733174,16,0.6565377256565841,0.17470120313843918,NA,2.884565942264299,0.011344111658788927,0.0125,5,n.s.
female,length,mnm3,15.425125,0.2190875211891118,-0.10414999999999992,0.06459600260566886,20,-0.5073665330531801,-0.7413731723018291,NA,-1.6123288717382622,0.12337726320953064,0.016666666666666666,6,n.s.
female,length,mnp4,7.6887,0.08337937965936747,0.12433333333333317,0.08800544716185883,15,-0.6553158757853184,0.14784912509288972,NA,1.4127913367073792,0.17956155365791823,0.025,7,n.s.
female,length,mxm3,12.403555555555556,0.1253713496323701,-0.04378451178451166,0.04725300540014467,33,0.8948016325079511,0.9758563479051143,NA,-0.9265973965833211,0.36107174696219857,0.05,8,n.s.
male,breadth,mxm2,12.076571428571429,0.1274281889431649,-0.2624571428571431,0.03482282509589172,35,0.18290082440512567,-0.536645230822455,NA,-7.536928498317241,9.444147670180203e-9,0.00625,1,*
male,breadth,mnm3,11.453214285714285,0.25228222963755254,-0.38071428571428545,0.03908534316384439,14,-0.3274556606827008,0.5346653110142725,NA,-9.740589563672103,2.4386864151323597e-7,0.0071428571428571435,2,*
male,breadth,mxp4,9.24756896551724,0.09662245517948986,-0.2579655172413794,0.039467093069620166,29,0.042837313011054395,0.030129596428511096,NA,-6.5362178254761965,4.378482217077824e-7,0.008333333333333333,3,*
male,breadth,mnm1,8.742133986928105,0.12319341164421281,-0.2806993464052291,0.03604721063775531,17,0.3287870734655135,-1.090105602807829,NA,-7.7869921538735865,7.856288802457797e-7,0.01,4,*
male,breadth,mxm1,10.429109375,0.07758729388609997,-0.14821180555555524,0.02485172093912965,32,-0.48037930681833857,1.5507945709603703,NA,-5.963844754195356,1.360109757267434e-6,0.0125,5,*
male,breadth,mxm3,12.420777777777777,0.16472876665699945,-0.17155555555555524,0.03262061074022109,34,0.4063772289723313,-0.39036089066633783,NA,-5.259115377138783,8.589063412501238e-6,0.016666666666666666,6,*
male,breadth,mnp4,7.3317,0.12706488593665535,-0.20326666666666668,0.03523559708004539,15,-1.4895912819473702,2.2938024760177163,NA,-5.768787348910304,4.8615440529184936e-5,0.025,7,*
male,breadth,mnm2,10.95703125,0.18147029984700666,-0.32681249999999995,0.06437327465325451,16,0.3297896859851402,0.9973277051310676,NA,-5.076835095936468,1.3651120383550527e-4,0.05,8,*
male,length,mxm1,10.278464646464647,0.09219705280858834,-0.48988552188552165,0.05757586723092917,33,-0.1908424841686335,-0.14475260195921802,NA,-8.508521806899683,1.0080979580673813e-9,0.00625,1,*
male,length,mxm2,12.731371428571428,0.12405654942397029,-0.4495428571428573,0.06655588847364449,35,-0.6209624151638216,0.8537787665362933,NA,-6.754366404722733,9.182837791167618e-8,0.0071428571428571435,2,*
male,length,mnm2,12.2575,0.22338922963443567,0.5893749999999998,0.07292632555074563,16,0.6096461793610345,-0.49107018309146255,NA,8.08178659145365,7.595374600821153e-7,0.008333333333333333,3,*
male,length,mxp4,7.179931034482759,0.08122632176441068,-0.44551724137931026,0.08417174883647881,29,0.23334581930421824,-0.8920086252539705,NA,-5.292954554678678,1.2455566646541779e-5,0.01,4,*
male,length,mnm3,16.656035714285714,0.2332310818464094,-0.5437857142857146,0.10740567947879406,14,0.10706771864914186,0.030448141330115863,NA,-5.062913962506783,2.1745218398632732e-4,0.0125,5,*
male,length,mnm1,10.076885620915032,0.153310389675896,0.3037712418300654,0.0810559108380694,17,0.06890853130816181,-0.49511217800617535,NA,3.7476753846727933,0.001756358611620672,0.016666666666666666,6,*
male,length,mxm3,13.312941077441078,0.13225879830954707,-0.2238686868686868,0.07182120983757093,33,-0.4831927216316739,0.6520268243715743,NA,-3.1170275100486706,0.003844032233986763,0.025,7,*
