Sex,Dimension,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
female,length,mnm1,0.030086168481301172,1,0.07683259189136975,19,0.0037616887106569404,19,2.8411234196399336e-4,360,7.9980484286396285,0.010744948226660993,20.425026577478743,7.457815034384342e-9,13.240145375781223,3.2717916198180254e-31,0.0125,5,*,7.552787160699856,10,3.4775763686929474e-4,16.233438227352924
female,length,mxm1,0.03050293873922959,1,0.07348711342788214,30,0.0031554399198800314,30,4.0786000545191595e-4,558,9.666778488493389,0.00408808708281661,23.28902317705231,7.402977506521149e-14,7.736575976317534,8.388404822433008e-27,0.016666666666666666,6,*,12.925614678393961,10,2.7475799144281157e-4,22.725432981959756
female,length,mnm3,0.0039780465694133306,1,0.07826796059513211,19,0.0016771792965707647,19,1.521625492462098e-4,360,2.3718672043871645,0.14002870698710473,46.66642424883389,4.5885693769158934e-12,11.02228705341266,4.8841633047386266e-26,0.025,7,*,9.072527281807504,10,1.525016747324555e-4,15.70200882736566
female,length,mnm2,0.032429121819550585,1,0.03982356951771594,15,0.004092057012984057,15,3.0932898677394477e-4,288,7.92489491633506,0.01305518418055628,9.731919519047791,3.545704730811343e-5,13.228818468197746,3.5366521795155713e-25,0.05,8,*,7.559254081564527,10,3.7827280262101124e-4,12.814123567380475
male,breadth,mxm3,0.03252187037320341,1,0.11923040239140836,33,0.001197620204461352,33,6.959000843960191e-5,610,27.15541225177527,9.897834889502286e-6,99.55610463755832,4.668879237080025e-25,17.20965741081613,8.303034790488968e-67,0.00625,1,*,5.810690916900578,9.970588235294118,1.1313577187238793e-4,29.27101902274857
male,breadth,mxm2,0.08055405740891573,1,0.0751330166585958,34,0.0013993814195608324,34,8.666410323736855e-5,630,57.56404671586679,8.179786121794435e-9,53.6901631023333,2.5208416457745075e-21,16.14718628920671,6.5530008994246755e-65,0.0071428571428571435,2,*,6.1930294361466025,10,1.312717316323464e-4,29.912950655120984
male,breadth,mxp4,0.11381317661176284,1,0.0647508270235737,28,0.0026145068740397424,28,1.8670401310955909e-4,522,43.53141226816021,3.7213530410264235e-7,24.765980792211693,2.185495759920082e-13,14.00348514472227,3.2703363449002767e-47,0.008333333333333333,3,*,7.141079450331598,10,2.427802860930183e-4,24.13717915272959
male,breadth,mxm1,0.03260224078607248,1,0.03495943453805928,31,9.388935525581157e-4,31,9.527416886204037e-5,574,34.724107644838114,1.6656878320754439e-6,37.234715738337506,3.155077484154356e-17,9.854649626150605,3.009233136054323e-36,0.01,4,*,10.14749420767197,9.96875,8.46263958566596e-5,25.01385500101843
male,breadth,mnm2,0.07074277995543304,1,0.08837231607233494,15,0.0027840181327787343,15,2.1568244967168758e-4,288,25.41031580308873,1.4632775564815586e-4,31.74272287663958,1.2041727596883521e-8,12.907949334851187,1.3488226719169166e-24,0.0125,5,*,7.747163968950679,10,2.568335683107047e-4,12.76188931029255
male,breadth,mnm1,0.0853669507899117,1,0.06724115016965239,16,0.0013337491707248476,16,1.393389710846401e-4,302,64.00525125988842,5.542496930185781e-7,50.41513925223968,1.1663751053278302e-10,9.571975164899666,2.874757164077448e-19,0.016666666666666666,6,*,10.44716459009411,9.882352941176471,1.2086293686835432e-4,12.824121077717619
