Sex,Dimension,trait,Ind,n_reps,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mnm2,F8,10,-0.19725,0.2047177839592409,-0.1399999999999988,high,0.3333333333333321,0.31688387913037724,0.3333333333333321,0.31688387913037724,3.7313432835820896e-4,67,n.s.,3.7313432835820896e-4,67,n.s.
female,breadth,mnm2,F9,10,-0.19725,0.2047177839592409,-0.25,low,0.17647058823529566,0.23528417311416927,0.17647058823529566,0.23528417311416927,3.2679738562091506e-4,48,n.s.,3.2679738562091506e-4,48,n.s.
female,breadth,mnm3,F1,10,-0.1941500000000001,0.20136039217703272,-0.3999999999999986,low,0.05882352941175825,0.3858243859213457,0.05882352941175825,0.3858243859213457,4.201680672268908e-4,82,n.s.,4.201680672268908e-4,82,n.s.
female,breadth,mnm3,F11,10,-0.1941500000000001,0.20136039217703272,-0.049999999999998934,high,0.1538461538461542,0.992280904470408,0.1538461538461542,0.992280904470408,0.05,200,n.s.,0.05,200,n.s.
female,breadth,mnm3,F12,10,-0.1941500000000001,0.20136039217703272,-0.8100000000000005,low,0.380952380952382,0.37604450952658997,0.3809523809523819,0.37604450952658997,4.132231404958678e-4,80,n.s.,4.132231404958678e-4,80,n.s.
female,breadth,mnm3,F13,10,-0.1941500000000001,0.20136039217703272,0.1399999999999988,high,0.17187499999999944,0.5794650158617913,0.17187499999999944,0.5794650158617913,6.41025641025641e-4,123,n.s.,6.41025641025641e-4,123,n.s.
female,breadth,mnm3,F14,10,-0.1941500000000001,0.20136039217703272,-0.5,low,0.27027027027027467,0.24341640573413836,0.27027027027027467,0.24341640573413836,3.3557046979865775e-4,52,n.s.,3.3557046979865775e-4,52,n.s.
female,breadth,mnm3,F15,10,-0.1941500000000001,0.20136039217703272,-0.10999999999999943,high,0.19354838709677438,0.87182423265909,0.19354838709677438,0.87182423265909,0.002,176,n.s.,0.002,176,n.s.
female,breadth,mnm3,F17,10,-0.1941500000000001,0.20136039217703272,0.129999999999999,high,0.21052631578947287,0.9766926249134104,0.21052631578947287,0.9766926249134104,0.01,196,n.s.,0.01,196,n.s.
female,breadth,mnm3,F18,10,-0.1941500000000001,0.20136039217703272,0.05999999999999872,high,0.33962264150943383,0.18282835065638445,0.33962264150943383,0.18282835065638445,3.0674846625766873e-4,38,n.s.,3.0674846625766873e-4,38,n.s.
female,breadth,mnm3,F2,10,-0.1941500000000001,0.20136039217703272,-0.19000000000000128,low,0.47619047619048105,0.012500000000000622,0.47619047619048105,0.012500000000000622,2.564102564102564e-4,6,n.s.,2.564102564102564e-4,6,n.s.
female,breadth,mnm3,F28,10,-0.1941500000000001,0.20136039217703272,-0.6399999999999988,low,0.17460317460317115,0.4806766787847967,0.17460317460317115,0.4806766787847967,5.102040816326531e-4,103,n.s.,5.102040816326531e-4,103,n.s.
female,breadth,mnm3,F3,10,-0.1941500000000001,0.20136039217703272,-0.030000000000001137,high,0.0681818181818168,0.16513142033865535,0.0681818181818168,0.16513142033865535,2.958579881656805e-4,32,n.s.,2.958579881656805e-4,32,n.s.
female,breadth,mnm3,F33,10,-0.1941500000000001,0.20136039217703272,0,high,0.1578947368421023,0.9246156373779484,0.1578947368421023,0.9246156373779484,0.004166666666666667,189,n.s.,0.004166666666666667,189,n.s.
female,breadth,mnm3,F38,10,-0.1941500000000001,0.20136039217703272,0.11000000000000121,high,0.39344262295082216,0.153835498855294,0.39344262295082216,0.153835498855294,2.9411764705882356e-4,31,n.s.,2.9411764705882356e-4,31,n.s.
female,breadth,mnm3,F4,10,-0.1941500000000001,0.20136039217703272,-0.6099999999999994,low,0.3188405797101435,0.9112923447236462,0.3188405797101435,0.9112923447236462,0.0033333333333333335,186,n.s.,0.0033333333333333335,186,n.s.
female,breadth,mnm3,F40,10,-0.1941500000000001,0.20136039217703272,-0.3100000000000005,low,0.09999999999999763,0.24341640573413525,0.09999999999999763,0.24341640573413525,3.333333333333334e-4,51,n.s.,3.333333333333334e-4,51,n.s.
female,breadth,mnm3,F5,10,-0.1941500000000001,0.20136039217703272,0.3000000000000007,high,0.22000000000000164,0.7432201622075758,0.22000000000000164,0.7432201622075758,0.0011363636363636365,157,n.s.,0.0011363636363636365,157,n.s.
