Ind,Rep,Side,Sex,Dimension,Arcade,Class,Position,Trait,Value
F3,9,R,female,length,mx,molar,3,mxm3,NA
F3,9,R,female,length,mx,premolar,4,mxp4,6.24
F3,9,L,female,length,mn,molar,1,mnm1,9.21
F3,9,L,female,length,mn,molar,2,mnm2,11.77
F3,9,L,female,length,mn,molar,3,mnm3,15.57
F3,9,L,female,length,mn,premolar,4,mnp4,7.37
F3,9,L,female,length,mx,molar,1,mxm1,9.24
F3,9,L,female,length,mx,molar,2,mxm2,NA
F3,9,L,female,length,mx,molar,3,mxm3,NA
F3,9,L,female,length,mx,premolar,4,mxp4,6.32
F3,10,R,female,length,mn,molar,1,mnm1,9.39
F3,10,R,female,length,mn,molar,2,mnm2,11.95
F3,10,R,female,length,mn,molar,3,mnm3,15.51
F3,10,R,female,length,mn,premolar,4,mnp4,7.64
F3,10,R,female,length,mx,molar,1,mxm1,9.48
F3,10,R,female,length,mx,molar,2,mxm2,NA
F3,10,R,female,length,mx,molar,3,mxm3,NA
F3,10,R,female,length,mx,premolar,4,mxp4,6.41
F3,10,L,female,length,mn,molar,1,mnm1,9.31
F3,10,L,female,length,mn,molar,2,mnm2,11.64
F3,10,L,female,length,mn,molar,3,mnm3,15.88
F3,10,L,female,length,mn,premolar,4,mnp4,7.51
F3,10,L,female,length,mx,molar,1,mxm1,9.72
F3,10,L,female,length,mx,molar,2,mxm2,NA
F3,10,L,female,length,mx,molar,3,mxm3,NA
F3,10,L,female,length,mx,premolar,4,mxp4,6.36
F4,1,R,female,length,mn,molar,1,mnm1,9.32
F4,1,R,female,length,mn,molar,2,mnm2,NA
F4,1,R,female,length,mn,molar,3,mnm3,15.47
F4,1,R,female,length,mn,premolar,4,mnp4,8.41
F4,1,R,female,length,mx,molar,1,mxm1,9.02
F4,1,R,female,length,mx,molar,2,mxm2,11.47
F4,1,R,female,length,mx,molar,3,mxm3,11.76
F4,1,R,female,length,mx,premolar,4,mxp4,7.31
F4,1,L,female,length,mn,molar,1,mnm1,9.48
F4,1,L,female,length,mn,molar,2,mnm2,NA
F4,1,L,female,length,mn,molar,3,mnm3,16.16
F4,1,L,female,length,mn,premolar,4,mnp4,7.59
F4,1,L,female,length,mx,molar,1,mxm1,9.48
