Sex,Dimension,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
female,length,mxm3,0.3301939209726234,1,10.37335841945292,32,0.36666192608071013,32,0.034968310223701664,601,0.9005405183518854,0.3497490469803316,28.291343282720668,6.273297783770004e-16,10.485548879401819,4.826514801477781e-40,0.008333333333333333,3,*,9.536935180994055,10.106060606060606,0.032821257341173256,26.17473570585775
female,length,mnp4,1.159408333333345,1,2.085636285714283,14,0.5808719047619046,14,0.02412396296296299,270,1.995979361075448,0.17956155365791568,3.5905270484189984,0.011388174794012797,24.07862695087474,9.280855970750917e-40,0.01,4,*,4.153060729086429,10,0.05567479417989416,12.86013994570794
female,length,mnm1,2.8934009999999897,1,7.214206368421075,19,0.3654246842105269,19,0.02628177777777782,360,7.917913389597557,0.011083251404611394,19.741978799288933,1.0021706633085121e-8,13.904108287511146,1.053009017316187e-32,0.0125,5,*,7.192118899837778,10,0.033914290643274905,16.360808786055504
female,length,mnm3,1.0847222499999938,1,19.19973677631583,19,0.41726435526315775,19,0.03681236111111092,360,2.599604390640767,0.12337726320953138,46.01336427169068,5.219191054063288e-12,11.334897916591842,8.739857661532012e-27,0.016666666666666666,6,*,8.822311478749324,10,0.038045199415204685,15.788918809364537
female,length,mxm1,2.7431251612903136,1,6.695744236559162,30,0.27821116129032225,30,0.038505698924731414,558,9.85986740635389,0.0037777815202842046,24.067130180920163,4.6940105452151077e-14,7.225194427301591,1.0165181683010227e-24,0.025,7,*,13.840457998214344,10,0.023970546236559084,22.247487719740533
female,length,mnm2,4.3501128124999315,1,5.179180645833331,15,0.5228048125000002,15,0.04062156249999979,288,8.320720675271001,0.011344111658789412,9.906528252995622,3.170652571130186e-5,12.870130549508106,1.5804946802026368e-24,0.05,8,*,7.769928954125642,10,0.04821832500000004,12.75556819227306
male,breadth,mxm3,4.973635545722803,1,18.318802145645137,33,0.18078181847977448,33,0.010008244080145733,610,27.511812789289113,8.950163276576535e-6,101.33099832544615,3.5070137520409463e-25,18.06329032666258,9.002676899863948e-70,0.00625,1,*,5.536089947709779,9.970588235294118,0.017127733125626484,29.44243837572756
male,breadth,mxm2,12.05465657142859,1,11.366560336134487,34,0.2122101008403358,34,0.01237003174603184,630,56.80529118874676,9.444147670179897e-9,53.56276770579617,2.6210708163173884e-21,17.155178353395115,1.3080259449242984e-68,0.0071428571428571435,2,*,5.829143710430115,10,0.019984006909430398,30.14618243760396
male,breadth,mxp4,9.649200172413801,1,5.414821330049243,28,0.2258594581280792,28,0.01581151340996163,522,42.7221434620727,4.3784822170778954e-7,23.974295231765918,3.3310567501024223e-13,14.284493348105588,4.0389691708918997e-48,0.008333333333333333,3,*,7.000598310563253,10,0.021004794471811757,24.21052393393348
male,breadth,mxm1,3.502277272727352,1,3.8524244761856563,31,0.0988158048224183,31,0.010550222609368805,574,35.442480876629894,1.4013373734994026e-6,38.98591407628407,1.601334098746275e-17,9.366229366067396,2.7196860150950338e-34,0.01,4,*,10.676655043521217,9.96875,0.008854227682813742,24.718628313194962
male,breadth,mnm2,8.54451281250004,1,10.538070312499979,15,0.3315134791666656,15,0.026591701388888774,288,25.774254591332493,1.3651120383549863e-4,31.78775819007363,1.1921172076715077e-8,12.466802116888507,8.652107259247563e-24,0.0125,5,*,8.02130322294377,10,0.030492177777777685,12.68586981712464
male,breadth,mnm1,6.633286011904753,1,5.142499986359131,16,0.10744132564484071,16,0.01071207137601176,302,61.73868362190373,6.9973841868352e-7,47.863333363534984,1.7414507865634918e-10,10.029929961579708,3.1834520121885585e-20,0.016666666666666666,6,*,9.970159351367004,9.882352941176471,0.009788079301012453,12.961769291977657
